id,rank,pick,name,position,team,bye,ADP,STD,HIGH,LOW
1,1,1.01,Saquon Barkley,RB,NYG,11,1.5,0.7,1.01,1.04
2,2,1.03,Ezekiel Elliott,RB,DAL,8,2.9,1.7,1.01,1.09
3,3,1.03,Alvin Kamara,RB,NO,9,3.3,1.2,1.01,1.08
4,4,1.04,Christian McCaffrey,RB,CAR,7,3.7,1.3,1.01,1.08
5,5,1.07,DeAndre Hopkins,WR,HOU,10,6.6,1.8,1.01,1.11
6,6,1.07,David Johnson,RB,ARI,12,6.6,2,1.01,1.12
7,7,1.07,Melvin Gordon,RB,LAC,12,7,1.6,1.03,1.12
8,8,1.07,Davante Adams,WR,GB,11,7,1.6,1.03,2.01
9,9,1.09,Michael Thomas,WR,NO,9,9.5,1.7,1.05,2.03
10,10,1.1,LeVeon Bell,RB,NYJ,4,9.9,2.3,1.05,2.1
11,11,1.11,Joe Mixon,RB,CIN,9,11.1,2.3,1.04,2.06
12,12,1.11,Julio Jones,WR,ATL,9,11.5,1.8,1.08,2.05
13,13,2.02,Odell Beckham Jr,WR,CLE,7,13.6,2.2,1.05,2.08
14,14,2.02,James Conner,RB,PIT,7,13.7,3.4,1.01,2.1
15,15,2.03,JuJu Smith-Schuster,WR,PIT,7,14.5,2.3,1.06,2.09
16,16,2.04,Travis Kelce,TE,KC,12,15.7,2.8,1.03,3.01
17,17,2.05,Dalvin Cook,RB,MIN,12,17.2,2.7,1.11,3.04
18,18,2.06,Todd Gurley,RB,LAR,9,17.8,3.2,1.1,3.06
19,19,2.07,Antonio Brown,WR,OAK,6,18.6,2.4,1.12,3.05
20,20,2.07,Damien Williams,RB,KC,12,19.5,2.8,1.11,3.03
21,21,2.08,Mike Evans,WR,TB,7,19.7,2.5,2.01,3.04
22,22,2.09,Nick Chubb,RB,CLE,7,21.4,3.3,1.01,3.07
23,23,2.11,Adam Thielen,WR,MIN,12,22.8,2.8,2.03,3.1
24,24,2.12,T.Y. Hilton,WR,IND,6,24.1,2.9,2.03,3.08
25,25,3.01,Leonard Fournette,RB,JAX,10,25.5,3.8,1.12,3.11
26,26,3.02,Keenan Allen,WR,LAC,12,25.8,3.3,2.01,3.11
27,27,3.03,Amari Cooper,WR,DAL,8,27.4,3.3,2.05,3.12
28,28,3.04,Devonta Freeman,RB,ATL,9,27.6,4.5,1.12,4.01
29,29,3.05,Pat Mahomes,QB,KC,12,28.6,6.4,1.04,4.08
30,30,3.05,A.J. Green,WR,CIN,9,29.3,3.1,2.07,4.03
31,31,3.05,Marlon Mack,RB,IND,6,29.4,3.7,2.05,4.04
32,32,3.05,Zach Ertz,TE,PHI,10,29.5,4.1,2.05,4.06
33,33,3.08,Aaron Jones,RB,GB,11,31.9,3.7,2.06,4.07
34,34,3.09,George Kittle,TE,SF,4,32.6,4.6,2.07,4.08
35,35,3.09,Josh Jacobs,RB,OAK,6,33,4.6,2.01,4.07
36,36,3.11,Kerryon Johnson,RB,DET,5,34.7,4.8,2.01,4.11
37,37,3.12,Stefon Diggs,WR,MIN,12,35.9,4,2.12,4.1
38,38,4.01,Derrick Henry,RB,TEN,11,36.5,5.1,2.04,5.03
39,39,4.02,Julian Edelman,WR,NE,10,37.9,3.8,2.12,4.12
40,40,4.03,Tyreek Hill,WR,KC,12,39.4,6.5,1.1,6.01
41,41,4.04,David Montgomery,RB,CHI,6,39.6,4.3,3.01,5.05
42,42,4.04,Brandin Cooks,WR,LAR,9,39.9,3.8,3.03,5.06
43,43,4.07,Phillip Lindsay,RB,DEN,10,42.9,4.4,3.02,5.1
44,44,4.08,Robert Woods,WR,LAR,9,44.3,3.3,3.06,5.08
45,45,4.08,Mark Ingram,RB,BAL,8,44.5,4,3.11,5.1
46,46,4.1,Kenny Golladay,WR,DET,5,45.5,4,3.09,5.1
47,47,4.11,Andrew Luck,QB,IND,6,47.1,5.2,2.12,6.01
48,48,4.11,Kenyan Drake,RB,MIA,5,47.1,5.4,2.12,5.12
49,49,4.11,Cooper Kupp,WR,LAR,9,47.3,4.6,3.08,6.08
50,50,5.01,Sony Michel,RB,NE,10,49,5.9,2.1,6.07
51,51,5.01,Calvin Ridley,WR,ATL,9,49.3,4.8,4.01,6.04
52,52,5.04,Aaron Rodgers,QB,GB,11,52.5,4.7,4.04,6.05
53,53,5.05,Chris Carson,RB,SEA,11,52.5,5.4,3.09,6.11
54,54,5.05,Tyler Lockett,WR,SEA,11,52.6,4.7,4.01,6.12
55,55,5.06,Chris Godwin,WR,TB,7,54.3,4.4,4.05,6.09
56,56,5.08,James White,RB,NE,10,55.6,5.2,4.02,6.11
57,57,5.08,Jarvis Landry,WR,CLE,7,55.6,5,4.05,6.07
58,58,5.1,O.J. Howard,TE,TB,7,57.8,6.8,3.01,7.04
59,59,5.1,Tarik Cohen,RB,CHI,6,58.2,5.5,4.03,7.06
60,60,5.1,Sammy Watkins,WR,KC,12,58.5,5.4,4.06,7.02
61,61,5.11,Deshaun Watson,QB,HOU,10,59.2,7,2.03,7.09
